series,operator,circle
8374.0,AT,AP
8375.0,VI,DL
8376.0,VI,DL
8377.0,VI,DL
8378.0,VI,MH
8379.0,VI,MH
8380.0,VI,MH
8381.0,,
8382.0,,
8383.0,RJ,DL
8384.0,RJ,DL
8385.0,,
8386.0,,
8387.0,,
8388.0,,
8389.0,,
8390.0,VI,MH
8391.0,,
8392.0,VI,UW
8393.0,VI,UW
8394.0,VI,UW
8395.0,VI,UW
8396.0,VI,HR
8397.0,VI,HR
8398.0,VI,HR
8399.0,,
8400.0,AT,UE
8401.0,,
8402.0,VI,AS
8403.0,VI,AS
8404.0,VI,BR
8405.0,VI,BR
8406.0,VI,BR
8407.0,VI,BR
8408.0,VI,MH
8409.0,AT,BR
8410.0,,
8411.0,VI,MH
8412.0,VI,MH
8413.0,,
8414.0,AT,NE
8415.0,,
8416.0,,
8417.0,,
8418.0,VI,UE
8419.0,,
8420.0,AT,KO
8421.0,AT,MH
8422.0,,
8423.0,AT,UE
8424.0,,
8425.0,VI,MU
8426.0,VI,RJ
8427.0,AT,PB
8428.0,AT,TN
8429.0,,
8430.0,,
8431.0,,
8432.0,,
8433.0,,
8434.0,AT,BR
8435.0,VI,MP
8436.0,AT,WB
8437.0,,
8438.0,,
8439.0,,
8440.0,,
8441.0,,
8442.0,,
8443.0,,
8444.0,,
8445.0,AT,UW
8446.0,,MH
8447.0,VI,DL
8448.0,AT,DL
8449.0,VI,UW
8450.0,,
8451.0,AT,MU
8452.0,,
8453.0,,
8454.0,AT,MU
8455.0,,
8456.0,,
8457.0,CG,KL
8458.0,,
8459.0,,
8460.0,,
8461.0,,
8462.0,,
8463.0,,
8464.0,,
8465.0,VI,AP
8466.0,,
8467.0,,
8468.0,,
8469.0,VI,GJ
8470.0,,
8471.0,,
8472.0,,
8473.0,AT,UW
8474.0,,
8475.0,,
8476.0,VI,UW
8477.0,VI,UW
8478.0,,
8479.0,,
8480.0,CG,OR
8481.0,,
8482.0,,
8483.0,AT,MH
8484.0,AT,MH
8485.0,AT,MH
8486.0,VI,AS
8487.0,,
8488.0,,
8489.0,VI,TN
8490.0,,
8491.0,,
8492.0,AT,JK
8493.0,,
8494.0,VI,KA
8495.0,VI,KA
8496.0,VI,KA
8497.0,VI,KA
8498.0,,
8499.0,VI,MU
8550.0,VI,KA
8551.0,VI,MH
8552.0,VI,MH
8553.0,,
8554.0,,
8555.0,RJ,AP
8556.0,,
8557.0,VI,PB
8558.0,VI,PB
8559.0,,
8560.0,,
8561.0,,
8562.0,,
8563.0,,
8564.0,,
8565.0,,
8566.0,,
8567.0,,
8568.0,,
8569.0,,
8570.0,AT,HR
8571.0,AT,HR
8572.0,AT,HR
8573.0,,
8574.0,AT,UE
8575.0,,
8576.0,,
8577.0,VI,UW
8578.0,VI,BR
8579.0,VI,BR
8580.0,,
8581.0,,
8582.0,AT,KO
8583.0,AT,KO
8584.0,AT,KO
8585.0,VI,DL
8586.0,VI,DL
8587.0,VI,DL
8588.0,VI,DL
8589.0,,
8590.0,RJ,KL
8591.0,,
8592.0,VI,KL
8593.0,,
8594.0,,
8595.0,RJ,DL
8596.0,,
8597.0,,
8598.0,,
8599.0,VI,OR
8650.0,,
8651.0,VI,BR
8652.0,VI,MH
8653.0,AT,WB
8654.0,,
8655.0,,
8656.0,,
8657.0,VI,MH
8658.0,AT,OR
8659.0,,
8660.0,RJ,KA
8661.0,,
8662.0,,
8663.0,,
8664.0,,
8665.0,,
8666.0,,
8667.0,RJ,TN
8668.0,RJ,MH
8669.0,VI,MH
8670.0,AT,WB
8671.0,,
8672.0,,
8673.0,,
8674.0,VI,BR
8675.0,,
8676.0,VI,BR
8677.0,VI,BR
8678.0,VI,BR
8679.0,,
8680.0,VI,TN
8681.0,VI,TN
8682.0,VI,TN
8683.0,VI,HR
8684.0,VI,HR
8685.0,VI,HR
8686.0,,
8687.0,,
8688.0,,
8689.0,VI,MU
8690.0,AT,RJ
8691.0,VI,MU
8692.0,,
8693.0,,
8694.0,,
8695.0,,
8696.0,VI,RJ
8697.0,VI,KO
